date,recipe_name,calories,protein,carbs,fat,cooking_time,cuisine,dietary_type,meal_type
2024-10-23,Nutella Buttercream Cupcakes with Hidden Cadbury Egg,300,28,51,15,60 minutes,American,Not Suitable for Vegetarians (contains eggs),Breakfast
2024-10-23,Luscious Orange Cardamom Smoothie,2300,9388,16898,5007,5-10 minutes,Fusion,"Vegan, Gluten-Free, Dairy-Free",Lunch
2024-10-23,Simple Spinach and Tomato Frittata,4200,9388,16898,5007,25 minutes,Italian,"Vegetarian, Gluten-Free",Dinner
2024-10-23,Finger Foods: Frittata Muffins,325,8,14,4,30 minutes,Italian-Inspired,Gluten-Free,Breakfast
2024-10-23,Parmesan Kale Chip Dusted Popcorn,1250,12516,22528,6675,30 minutes (including kale chip preparation),American Fusion,"Vegetarian, Gluten-Free",Breakfast
2024-10-24,Nutella Buttercream Cupcakes with Hidden Cadbury Egg,450,28,51,15,60 minutes,American,Not Suitable for Vegetarians (contains eggs),Breakfast
2024-10-24,Luscious Orange Cardamom Smoothie,500,9388,16898,5007,5-10 minutes,Fusion,"Vegan, Gluten-Free, Dairy-Free",Lunch
2024-10-24,Simple Spinach and Tomato Frittata,1502,9388,16898,5007,25 minutes,Italian,"Vegetarian, Gluten-Free",Dinner
2024-10-24,Finger Foods: Frittata Muffins,125,8,14,4,30 minutes,Italian-Inspired,Gluten-Free,Breakfast
2024-10-24,Parmesan Kale Chip Dusted Popcorn,250,12516,22528,6675,30 minutes (including kale chip preparation),American Fusion,"Vegetarian, Gluten-Free",Breakfast
2024-10-24,Finger Foods: Frittata Muffins,130,8,15,4,35 minutes,Italian,Gluten-Free,Breakfast
